,S_SUM,H_TDH_I_L1_N,C_phi_L1,P_L2,P_L1,P_L3,C_phi_L2,Q_SUM,P_SUM,Q_L2,Q_L3,Q_L1,I_L1,I_L2,I_L3,H_TDH_I_L2_N,S_L3,S_L2,S_L1
2022-06-28T14:20:00Z,0.8706205034114456,0.36530360481809315,0.9902340461357115,0.8434850426562878,0.8851168183328597,0.8332630477955346,0.9919624916275952,0.7489908939512931,0.8698611012576338,0.5412976565668097,0.8162098132425624,0.710504479117818,0.8788494978557333,0.8444149957899688,0.8496927022377415,0.40146842276789,0.8447706464881283,0.8472048804045114,0.8846673407587407
2022-06-28T14:21:00Z,0.8690857620808707,0.3610186863510369,0.9902340461357114,0.8456035305571278,0.8860206559649237,0.8302190993047028,0.992967180174146,0.7416536720479934,0.8698785317623492,0.5252054872732316,0.8091966025474979,0.7125893120237973,0.8792276497285827,0.8442169698707523,0.846569361038097,0.3954043110817631,0.8410221859155558,0.8467870150623981,0.8842569117514621
2022-06-28T14:22:00Z,0.8654881370969613,0.3559646368001455,0.9909075601953179,0.8431159637429195,0.8847742982584049,0.8291239107809709,0.9934695244474215,0.7316568443501127,0.8682390417963104,0.515185244257626,0.8028532980739365,0.7010795130873205,0.8767830857959868,0.8407879530535994,0.8438577220953805,0.39091509390500495,0.8377764653601263,0.8426371392573033,0.8809968939844712
2022-06-28T14:23:00Z,0.8727971146953999,0.35991463823069564,0.9895605320761063,0.8523677138459145,0.8916370383460329,0.8264574492317488,0.9939718687206968,0.7417500168354509,0.8728633985555506,0.5012020873517911,0.8096382497741308,0.7347473272332556,0.8884559361023051,0.8524421744513296,0.8454421762181589,0.3953855420247717,0.8384570291380257,0.8531136039547909,0.8913800374488983
2022-06-28T14:24:00Z,0.8715708214021478,0.361075908357274,0.9905708031655153,0.8510702839369654,0.8924467529933745,0.8219993997974187,0.9943067649028803,0.7399167915727555,0.8712193548544905,0.4873165656709401,0.8128397085064784,0.7394110174433214,0.8871949184979165,0.8493220780681544,0.8400636659567796,0.3993151000476052,0.835158114210169,0.8518856349289441,0.8922219092051411
2022-06-28T14:25:00Z,0.8695277618107488,0.36351289262290526,0.9877083684121895,0.8539987811565053,0.8878393849339288,0.8169030363363622,0.9939718687206968,0.7415642901287274,0.8689198677870026,0.4860803683241914,0.7996557086275232,0.7584739103041782,0.8842586804263841,0.8509942089300186,0.8339297020394849,0.39736653067631744,0.8296388570385449,0.8539786340342124,0.8896016557620049
2022-06-28T14:26:00Z,0.8741161704998128,0.3654382448327687,0.987876746927091,0.8597888699466222,0.8918347635731965,0.818381461632704,0.9948091091761556,0.746169791585589,0.8727582854694932,0.4830282220717057,0.8012140635376603,0.7723026565335698,0.8891278651907749,0.8570648915095198,0.8362136502881115,0.39845513598181803,0.8321165794645061,0.85997796104545,0.8946874197803496
2022-06-28T14:27:00Z,0.869016495539139,0.36171208242661684,0.987539989897288,0.8587211851647434,0.8845498653402489,0.8177065375890821,0.9946416610850639,0.7420136426479009,0.8696494428017751,0.4936283744533543,0.7835925557595147,0.7690181361307072,0.8802225036415342,0.853825187471138,0.8314275116235936,0.3919951678209637,0.8280618701947986,0.8572695350568509,0.8864320110522733
2022-06-28T14:28:00Z,0.8681108037170054,0.36231291349210754,0.9866980973227805,0.8576630556923985,0.882474251744531,0.818928075638696,0.9946416610850639,0.7453785428670135,0.8689789122119989,0.5056142779278601,0.7836756010307664,0.7669625509968544,0.8780249273419148,0.8524128666152854,0.8321973548729558,0.39061478899314245,0.8287924831765756,0.8560157462713319,0.8843083043016533
2022-06-28T14:29:00Z,0.8725927493968073,0.3662208399180718,0.9875399898972881,0.856158432665458,0.8923961824745307,0.8140598051136175,0.9951440053583391,0.7559347676106418,0.8702828029342274,0.4827555472612167,0.8198973871145216,0.7802051812744157,0.888798804027586,0.8522441485321127,0.8326010629113024,0.4001545887784928,0.829874517880765,0.8567688929411297,0.8955710364112858
2022-06-28T14:30:00Z,0.8701848570184708,0.3657294038645051,0.9875399898972876,0.8529429915336518,0.8880220533790717,0.8163208546584925,0.9943067649028803,0.755683587790562,0.8684313274554112,0.498014984505793,0.8149855307474974,0.7703123977897972,0.8835200186544698,0.8506037018173238,0.8334820257989421,0.4008234497185496,0.8305180467153188,0.8543742988364096,0.8902722796539536
2022-06-28T14:31:00Z,0.8727570393720847,0.36518747780543503,0.9875399898972878,0.8546161354741952,0.8914098039977608,0.8190458493367948,0.9936369725385131,0.7499275342452449,0.8710788519543305,0.4909991195470976,0.8139427293128705,0.7621901842332003,0.8877448878545753,0.8537618191769883,0.8382729609946085,0.401524729938864,0.8336913783649139,0.855980797038134,0.8931023684150047
