,H_TDH_U_L2_N,H_TDH_U_L3_N,H_TDH_U_L1_N
2022-06-28T11:15:00Z,0.6366072671585685,0.6019301595962355,0.6293190204629321
2022-06-28T11:16:00Z,0.6853682305443412,0.653628427226845,0.6749412948674939
2022-06-28T11:17:00Z,0.6802867882500345,0.6440458327649708,0.6667039397666698
2022-06-28T11:18:00Z,0.7509745231797302,0.7081571409084711,0.7383428379738345
2022-06-28T11:19:00Z,0.657907559515523,0.6279157004501433,0.6407618621640759
2022-06-28T11:20:00Z,0.7044062369483497,0.6687355067521484,0.6876141488687612
2022-06-28T11:21:00Z,0.6758666295419744,0.6487177738371305,0.6538819933653878
2022-06-28T11:22:00Z,0.7273771404705551,0.696869458464057,0.7087107234708706
2022-06-28T11:23:00Z,0.7510441319782821,0.7256513436093307,0.7342800700734285
2022-06-28T11:24:00Z,0.7213559793957955,0.6962556267903429,0.7023742964702372
2022-06-28T11:25:00Z,0.722330502575526,0.6976879006956757,0.70360430877036
2022-06-28T11:26:00Z,0.7129681191702635,0.6882076115127546,0.6945096723694507
2022-06-28T11:27:00Z,0.7802450229709035,0.7515345791842868,0.773752282977375
2022-06-28T11:28:00Z,0.8108032855352918,0.777247305960988,0.8060680606806062
2022-06-28T11:29:00Z,0.7011694278156761,0.6737484654208162,0.6911178202691116
2022-06-28T11:30:00Z,0.7859181400529027,0.7489428454508259,0.7740504677774046
2022-06-28T11:31:00Z,0.7719963803424752,0.7375187559678079,0.7582094002758205
2022-06-28T11:32:00Z,0.7692120284003903,0.7432137498294914,0.7587684967758767
2022-06-28T11:33:00Z,0.7572045106501459,0.7487041331332703,0.7528420738752847
2022-06-28T11:34:00Z,0.704336628149798,0.6923339244305006,0.7013679227701372
2022-06-28T11:35:00Z,0.8160675984020649,0.7874009603980315,0.8115857429760737
2022-06-28T11:36:00Z,0.7564736182653484,0.7392238439503477,0.7486674866748669
2022-06-28T11:37:00Z,0.8096895447584573,0.7716205156186061,0.7934324797793432
2022-06-28T11:38:00Z,0.6667478769316446,0.629552584913382,0.6471355622647136
2022-06-28T11:39:00Z,0.6596477794793263,0.6265516300641115,0.6428864288642883
2022-06-28T11:40:00Z,0.630377279688153,0.6140703860319198,0.6123970330612397
2022-06-28T11:41:00Z,0.6750661283586246,0.6647456008730054,0.6633493607663344
2022-06-28T11:42:00Z,0.6186481971321176,0.6210271450006827,0.6078497148607848
2022-06-28T11:43:00Z,0.6391827927049982,0.6426817623789393,0.6221998583622196
2022-06-28T11:44:00Z,0.6701935124599743,0.6591529122902747,0.6470982891647102
2022-06-28T11:45:00Z,0.7198593902269248,0.6964943391078983,0.6901859927690187
2022-06-28T11:46:00Z,0.7368439370736464,0.7123175555858688,0.7146744194714673
2022-06-28T11:47:00Z,0.7019699289990255,0.6847633337880238,0.6842222967684223
2022-06-28T11:48:00Z,0.6997076430460811,0.6837061792388491,0.6926460173692647
2022-06-28T11:49:00Z,0.7087915912571352,0.698540444686946,0.6984978940698495
2022-06-28T11:50:00Z,0.7056939997215643,0.6965625426271996,0.699727906369973
2022-06-28T11:51:00Z,0.8109076987331196,0.7859773564315925,0.8054344179805429
2022-06-28T11:52:00Z,0.73078797159961,0.713920338289456,0.7238436020723841
2022-06-28T11:53:00Z,0.7500696087985528,0.7281407720638388,0.7443810801744383
2022-06-28T11:54:00Z,0.7384797438396213,0.718660482880917,0.7263781728726381
2022-06-28T11:55:00Z,0.7850828344702767,0.7524894284545086,0.7731559133773153
2022-06-28T11:56:00Z,0.817872707923841,0.7957587814921084,0.8149592744001396
2022-06-28T11:57:00Z,0.7862313796463871,0.7777929341154012,0.7838532930783856
2022-06-28T11:58:00Z,0.6799735486565506,0.6751125358068478,0.6739721942673972
2022-06-28T11:59:00Z,0.7325978003619653,0.7258559541672355,0.7223154049722317
2022-06-28T12:00:00Z,0.7650006960879858,0.745021143090984,0.7476611129747658
2022-06-28T12:01:00Z,0.7060768481136017,0.6953007775201202,0.6889932535688993
2022-06-28T12:02:00Z,0.7108450508144233,0.7000068203519306,0.700771553170077
2022-06-28T12:03:00Z,0.5984964499512735,0.6022029736734419,0.5918595549591862
2022-06-28T12:04:00Z,0.6900320200473342,0.6833310598826902,0.6810913563681092
2022-06-28T12:05:00Z,0.7627036057357652,0.7584913381530493,0.7380073800738002
2022-06-28T12:06:00Z,0.7297090352220514,0.7360523803028242,0.706027060270603
2022-06-28T12:07:00Z,0.7630168453292496,0.7652093848042564,0.7389392075738942
2022-06-28T12:08:00Z,0.6874912989001813,0.6850361478652304,0.6740840135674083
2022-06-28T12:09:00Z,0.6788598078797161,0.6801254944755156,0.6708412538670842
2022-06-28T12:10:00Z,0.669010162884589,0.6736120583822128,0.6553356442655337
2022-06-28T12:11:00Z,0.6306209104830851,0.6412153867139546,0.6185843676618584
2022-06-28T12:12:00Z,0.769838507587359,0.7546037375528577,0.7567557493756755
2022-06-28T12:13:00Z,0.7412640957817069,0.7239803573864415,0.737709195273771
2022-06-28T12:14:00Z,0.6973409438953084,0.6850702496248812,0.6923851056692388
